,id,booklet,titlepage
663,71944,BOOKLETA,3
664,71945,BOOKLETA,3
665,70547,BOOKLETA,3
666,69420,BOOKLETB,3
667,66985,BOOKLETB,3
668,78031,BOOKLETB,3
669,76140,BOOKLETB,3
670,68319,BOOKLETB,3
671,73294,BOOKLETA,3
672,77966,BOOKLETA,3
673,69221,BOOKLETA,3
674,77803,BOOKLETA,3
675,80132,BOOKLETA,3
676,78460,BOOKLETA,3
677,79095,BOOKLETA,3
678,79083,BOOKLETA,3
679,80025,BOOKLETA,3
680,78234,BOOKLETA,3
681,79307,BOOKLETA,3
682,78393,BOOKLETA,3
683,78120,BOOKLETA,3
684,78523,BOOKLETA,3
685,77942,BOOKLETA,3
686,08011,BOOKLETA,3
687,67159,BOOKLETA,3
688,RD-NS134711,BOOKLETA,3
689,RD-NP1911,BOOKLETB,3
690,Redacted-AG-11.16.12B,BOOKLETB,3
691,RD-NS472011,BOOKLETA,3
692,Redacted-CSM-11.16.12B,BOOKLETB,3
693,RD-NP-11611,BOOKLETB,3
694,Redacted-CS-11.16.12B,BOOKLETB,3
695,RD-NP171411,BOOKLETB,3
696,RD-AM-4811,BOOKLETA,3
697,RD-AR-4811,BOOKLETA,3
698,RD-SL-4811,BOOKLETA,3
699,RD-FM-4811,BOOKLETA,3
700,RD-KW-4811,BOOKLETA,3
701,RD-SG-4711,BOOKLETA,3
702,77637,BOOKLETA,3
703,80492,BOOKLETA,3
704,70576,BOOKLETA,3
705,77751,BOOKLETA,3
706,80537,BOOKLETA,3
707,77873,BOOKLETA,3
708,66404,BOOKLETA,3
709,63435,BOOKLETA,3
710,75288,BOOKLETA,3
711,78781,BOOKLETA,3
712,77060,BOOKLETA,3
713,76327,BOOKLETA,3
714,78282,BOOKLETB,3
715,77589,BOOKLETA,3
716,75417,BOOKLETA,3
717,75211,BOOKLETA,3
718,73134,BOOKLETB,3
719,74312,BOOKLETB,3
720,74372,BOOKLETB,3
721,70538,BOOKLETB,3
722,75506,BOOKLETB,3
723,74340,BOOKLETB,3
724,75077,BOOKLETB,3
725,74144,BOOKLETB,3
726,77880,BOOKLETB,3
727,74653,BOOKLETB,3
728,76290,BOOKLETB,3
729,50452,BOOKLETB,3
730,70590,BOOKLETB,3
731,66251,BOOKLETB,3
732,72595,BOOKLETB,3
733,76294,BOOKLETB,3
734,75549,BOOKLETB,3
735,RD-AM-4811,BOOKLETA,3
736,RD-AR-4811,BOOKLETA,3
737,RD-SL-4811,BOOKLETA,3
738,RD-FM-4811,BOOKLETA,3
739,71624,BOOKLETA,3
740,73152,BOOKLETA,3
741,RD-KW-4811,BOOKLETA,3
742,75578,BOOKLETA,3
743,74883,BOOKLETA,3
744,77755,BOOKLETA,3
745,75231,BOOKLETA,3
746,74662,BOOKLETA,3
747,71595,BOOKLETA,3
748,76184,BOOKLETA,3
749,74570_M,BOOKLETA,1
750,74593,BOOKLETA,3
751,75307,BOOKLETA,3
752,75884,BOOKLETA,3
753,76904,BOOKLETA,3
754,77565,BOOKLETA,3
755,71246,BOOKLETA,3
